x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-9.60660E-06,+303.05606506E-03,-22.25169538E-03,+310.19552245E-03,-83.52339735E-03
-9.59660E-06,+303.05606506E-03,-14.60672059E-03,+310.19552245E-03,-83.38363604E-03
-9.58660E-06,+303.05606506E-03,-7.87920809E-03,+310.19552245E-03,-83.56705313E-03
-9.57660E-06,+303.05606506E-03,-1.35923329E-03,+310.19552245E-03,-83.46843504E-03
-9.56660E-06,+303.05606506E-03,+4.67870634E-03,+310.19552245E-03,-83.51020639E-03
-9.55660E-06,+303.05606506E-03,+11.08900778E-03,+310.19552245E-03,-83.42320891E-03
-9.54660E-06,+303.05606506E-03,+16.52569114E-03,+310.19552245E-03,-83.51334710E-03
-9.53660E-06,+303.05606506E-03,+22.50621872E-03,+310.19552245E-03,-83.43011845E-03
-9.52660E-06,+303.05606506E-03,+28.53938448E-03,+310.19552245E-03,-83.50643755E-03
-9.51660E-06,+303.05606506E-03,+34.25420854E-03,+310.19552245E-03,-83.45681443E-03
-9.50660E-06,+303.05606506E-03,+34.86325376E-03,+310.19552245E-03,-83.50329684E-03
-9.49660E-06,+303.05606506E-03,+33.78071608E-03,+310.19552245E-03,-83.37609835E-03
-9.48660E-06,+303.05449471E-03,+33.00169599E-03,+310.19552245E-03,-83.54224157E-03
-9.47660E-06,+303.05449471E-03,+32.57518846E-03,+310.19552245E-03,-83.41504308E-03
-9.46660E-06,+303.05449471E-03,+32.04440957E-03,+310.19552245E-03,-83.50109835E-03
-9.45660E-06,+303.05606506E-03,+32.03511309E-03,+310.19552245E-03,-83.42320891E-03
-9.44660E-06,+303.05449471E-03,+31.25747490E-03,+310.19552245E-03,-83.52716619E-03
-9.43660E-06,+303.05449471E-03,+30.58963571E-03,+310.19552245E-03,-83.43357323E-03
-9.42660E-06,+303.05449471E-03,+30.19591713E-03,+310.19552245E-03,-83.54004308E-03
-9.41660E-06,+303.05449471E-03,+29.59302769E-03,+310.19552245E-03,-83.45461594E-03
-9.40660E-06,+303.05336406E-03,+29.08046488E-03,+310.19552245E-03,-83.48162599E-03
-9.39660E-06,+303.05292436E-03,+28.76049001E-03,+310.19552245E-03,-83.39714107E-03
-9.38660E-06,+303.05449471E-03,+28.89654528E-03,+310.19552245E-03,-83.52748026E-03
-9.37660E-06,+303.05449471E-03,+28.00961062E-03,+310.19552245E-03,-83.44142499E-03
-9.36660E-06,+303.05449471E-03,+27.50596741E-03,+310.19552245E-03,-83.50109835E-03
-9.35660E-06,+303.05449471E-03,+27.51865585E-03,+310.19552245E-03,-83.40750539E-03
-9.34660E-06,+303.05449471E-03,+27.03863073E-03,+310.19552245E-03,-83.55040740E-03
-9.33660E-06,+303.05449471E-03,+26.33649506E-03,+310.19552245E-03,-83.42791996E-03
-9.32660E-06,+303.05449471E-03,+26.07141968E-03,+310.19552245E-03,-83.49230438E-03
-9.31660E-06,+303.05449471E-03,+25.59805285E-03,+310.19552245E-03,-83.41410087E-03
-9.30660E-06,+303.05449471E-03,+25.11903276E-03,+310.19552245E-03,-83.52559584E-03
-9.29660E-06,+303.05449471E-03,+24.52292724E-03,+310.19552245E-03,-83.39494257E-03
-9.28660E-06,+303.05449471E-03,+23.70860564E-03,+310.19552245E-03,-83.52088478E-03
-9.27660E-06,+303.05449471E-03,+23.75935941E-03,+310.19552245E-03,-83.46937725E-03
-9.26660E-06,+303.05449471E-03,+23.14755037E-03,+310.19552245E-03,-83.50706569E-03
-9.25660E-06,+303.05449471E-03,+22.66224886E-03,+310.19552245E-03,-83.41535715E-03
-9.24660E-06,+303.05449471E-03,+22.53059057E-03,+310.19552245E-03,-83.53501795E-03
-9.23660E-06,+303.05449471E-03,+21.77280164E-03,+310.19552245E-03,-83.41441494E-03
-9.22660E-06,+303.05449471E-03,+21.53410817E-03,+310.19552245E-03,-83.48068378E-03
-9.21660E-06,+303.05449471E-03,+20.95973632E-03,+310.19552245E-03,-83.47157574E-03
-9.20660E-06,+303.05449471E-03,+20.87619361E-03,+310.19552245E-03,-83.51114860E-03
-9.19660E-06,+303.05449471E-03,+19.75810317E-03,+310.19552245E-03,-83.36918881E-03
-9.18660E-06,+303.05449471E-03,+19.88322879E-03,+310.19552245E-03,-83.56579684E-03
