x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-9.64660E-06,+303.05449471E-03,-16.71865524E-03,+310.19552245E-03,-83.68985463E-03
-9.63660E-06,+303.05449471E-03,-16.84491152E-03,+310.19552245E-03,-83.56359835E-03
-9.62660E-06,+303.05449471E-03,-16.82242408E-03,+310.19552245E-03,-83.64494257E-03
-9.61660E-06,+303.05449471E-03,-15.08837887E-03,+310.19552245E-03,-83.51523152E-03
-9.60660E-06,+303.05449471E-03,-10.27330355E-03,+310.19552245E-03,-83.65248026E-03
-9.59660E-06,+303.05449471E-03,-6.81199705E-03,+310.19552245E-03,-83.53533202E-03
-9.58660E-06,+303.05449471E-03,-2.46199710E-03,+310.19552245E-03,-83.65781946E-03
-9.57660E-06,+303.05449471E-03,+729.33453E-06,+310.19552245E-03,-83.56265614E-03
-9.56660E-06,+303.05449471E-03,+4.41702293E-03,+310.19552245E-03,-83.67854810E-03
-9.55660E-06,+303.05449471E-03,+8.08335455E-03,+310.19552245E-03,-83.52402549E-03
-9.54660E-06,+303.05449471E-03,+12.14013842E-03,+310.19552245E-03,-83.60882448E-03
-9.53660E-06,+303.05449471E-03,+15.43197256E-03,+310.19552245E-03,-83.51648780E-03
-9.52660E-06,+303.05449471E-03,+19.39956046E-03,+310.19552245E-03,-83.64023152E-03
-9.51660E-06,+303.05449471E-03,+22.55270113E-03,+310.19552245E-03,-83.53093504E-03
-9.50660E-06,+303.05449471E-03,+21.87631922E-03,+310.19552245E-03,-83.61102297E-03
-9.49660E-06,+303.05449471E-03,+20.87506295E-03,+310.19552245E-03,-83.52873654E-03
-9.48660E-06,+303.05449471E-03,+20.44943482E-03,+310.19552245E-03,-83.66347272E-03
-9.47660E-06,+303.05449471E-03,+20.04064085E-03,+310.19552245E-03,-83.53533202E-03
-9.46660E-06,+303.05449471E-03,+19.96978658E-03,+310.19552245E-03,-83.59971644E-03
-9.45660E-06,+303.05449471E-03,+19.53134438E-03,+310.19552245E-03,-83.54004308E-03
-9.44660E-06,+303.05449471E-03,+19.47820367E-03,+310.19552245E-03,-83.62232951E-03
-9.43660E-06,+303.05449471E-03,+18.84390720E-03,+310.19552245E-03,-83.49732951E-03
-9.42660E-06,+303.05449471E-03,+18.45433434E-03,+310.19552245E-03,-83.63803302E-03
-9.41660E-06,+303.05449471E-03,+18.08976148E-03,+310.19552245E-03,-83.50486720E-03
